speciesKey,species,occurrenceCount,vernacularNameEn,vernacularNameEs,vernacularNameEl,imageSrc,imageUrl,imageBy,speciesGroup,iucnRedListCategory
2409370,Parophrys vetulus,14,English Sole,,,https://inaturalist-open-data.s3.amazonaws.com/photos/434065415/medium.jpeg,https://www.inaturalist.org/observations/243428500,André Giraldi,Bony fish,LC
2393577,Scarus ghobban,6,,,Ξενικός σκάρος,,,,,
5216288,Pristis zijsron,5,,,Πριονόψαρο,,,,,
2450128,Aipysurus duboisii,4,,,,,,,,
5215649,Hemipristis elongata,4,,,,,,,,
5215903,Himantura leoparda,4,,,,,,,,
5201384,Platycephalus speculator,3,,,,,,,,
2373980,Thunnus thynnus,3,Atlantic Bluefin Tuna,,Ερυθρός τόνος,https://inaturalist-open-data.s3.amazonaws.com/photos/161933338/medium.jpeg,https://www.inaturalist.org/observations/97375616,Sylvain Le Bris,Bony fish,LC
2450131,Aipysurus laevis,2,,,,,,,,
2417988,Carcharhinus amblyrhynchoides,2,,,,,,,,
2417919,Negaprion brevirostris,2,Lemon Shark,,Κίτρινος καρχαρίας,https://inaturalist-open-data.s3.amazonaws.com/photos/484171986/medium.jpg,https://www.inaturalist.org/observations/269293044,Frank Krasovec,Sharks & Rays,VU
2417820,Pristiophorus nudipinnis,2,,,,,,,,
2374268,Scomberomorus maculatus,2,Atlantic Spanish Mackerel,,Σκουμπρί Ισπανίας,https://inaturalist-open-data.s3.amazonaws.com/photos/414572804/medium.jpg,https://www.inaturalist.org/observations/233287345,Frank Krasovec,Bony fish,LC
7403268,Acanthopagrus morrisoni,1,,,,,,,,
2390836,Caranx lugubris,1,,,,,,,,
2439920,Didelphis marsupialis,1,Southern Opossum,,Κοινό Πόσουμ,,,,Terrestrial mammals,
2393846,Hipposcarus longiceps,1,,,,,,,,
2418938,Rhynchobatus palpebratus,1,,,,,,,,
